idx,dataset_source,Type_2,Type_5_1st,Type_5_3rd,sds_step_a,sds_step_b,sds_e2e,sbert_step_a,sbert_step_b,meteor_step_a,meteor_step_b,rouge_step_a,rouge_step_b,jaccard_step_a,jaccard_step_b
0,mrpc,"Amrozi accused his brother of being an accomplice in the Bali bombings, despite the lack of evidence.","Amrozi claimed his brother participated in the Bali bombings, without any supporting evidence.","Amrozi claimed his brother participated in the Bali bombings, yet provided no evidence.",0.3791846319345736,0.21479034304832734,0.41429450126757084,0.2876679386691125,0.22884910902353983,0.619586010332197,0.23355823432486342,0.4133333333333334,0.1538461538461538,0.4,0.625
1,mrpc,They had published an advertisement on the internet for the upcoming cargo sale in June.,They had publicized the upcoming June cargo sale through an internet advertisement.,The company publicized its planned June shipping event through an online advertisement.,0.2939721367247669,0.5465826118196611,0.6755771448087784,0.17418893893663873,0.515567998928445,0.43618275570280723,0.644542395646304,0.5111111111111111,0.5416666666666665,0.625,0.3333333333333333
2,mrpc,"The stock rose $ 2.50, or 3 percent, on Friday, closing at a new record on the New York Stock Exchange.","On Friday, the stock's value increased by $2.50 (3%), reaching a new record close on the NYSE.","On Friday, the stock's price rose $2.50 (3%), closing at a new record on the NYSE.",0.41633903590299076,0.22432226891424278,0.2441410266460825,0.371545727621718,0.24443002112307594,0.5170579966497996,0.2207537136344184,0.45,0.16756756756756763,0.4166666666666667,0.5714285714285714
3,mrpc,Revenue in the third quarter increased by 15 percent compared to the same period last year.,Our third-quarter revenue grew 15% over the same period a year ago.,We experienced a 15% revenue surge in Q3 compared to the previous year.,0.3665045356157729,0.5804719704270505,0.5315558228951774,0.2703593274507708,0.4495286557484153,0.5524791784851728,0.8076200387361606,0.4689655172413792,0.7461538461538461,0.4,0.23809523809523808
4,mrpc,The DVD was submitted as evidence to the state supreme court.,The state supreme court received the DVD as evidence.,The state's highest court accepted the DVD as proof.,0.327702962960176,0.39177688337966166,0.6159963037465994,0.24302583017383617,0.4239951400695898,0.3494373242793715,0.38163583879480173,0.56,0.3052631578947369,0.6363636363636364,0.4166666666666667
5,mrpc,But he added that the group's performance in the first half of the year would add to their confidence.,He also noted that the group's strong performance in the first half would bolster their confidence.,He further commented that their excellent first-half showing would increase their confidence.,0.363093515691607,0.45454594002673915,0.5512987077576986,0.37968780011437664,0.37701380334461015,0.4493771510878783,0.6550216234331986,0.22702702702702698,0.48666666666666664,0.5454545454545454,0.3333333333333333
6,mrpc,"He told The Sun newspaper that Mr. Hussein's daughter, now living in exile, was preparing to release her tell-all memoir.",His statement to The Sun revealed that Mr. Hussein's exiled daughter plans to launch her candid memoir.,"A source told The Sun that Hussein's daughter, who lives in exile, will publish her candid autobiography.",0.4512169456078789,0.49373920319638676,0.4326881786546945,0.4166308008937805,0.4612236310504916,0.5561923253580526,0.5739140117193482,0.45,0.5111111111111111,0.3448275862068966,0.2962962962962963
7,mrpc,"Sheena Young of Child , Welfare Services discussed the emotional toll of infertility on couples seeking adoption, highlighting the need for support.","Child Welfare Services' Sheena Young addressed the emotional impact of infertility on couples pursuing adoption, stressing the importance of support.","Sheena Young from Child Welfare Services addressed the emotional burden infertility places on future adoptive parents, emphasizing the vital need for support.",0.3156595969598343,0.37754513384245053,0.3201707443450388,0.2875441314642,0.3442348079563361,0.35956802943096183,0.43121172153372045,0.3560975609756098,0.4238095238095238,0.5416666666666666,0.39285714285714285
8,mrpc,"The new Finder puts a powerful new set of tools into the user's hands, making it easier to organize and access files and folders across all drives, including iDisk.","The updated Finder equips users with robust new tools, simplifying the organization and access of files and folders across all storage drives, including iDisk.","With the new Finder's potent capabilities, users can more easily manage and retrieve files and folders from any storage, iDisk included.",0.2948977024049723,0.4063858445848609,0.4228648209564366,0.22876849500747942,0.27360288285958134,0.440034878854275,0.6415553569542561,0.3481481481481482,0.5695652173913044,0.4,0.30303030303030304
9,mrpc,"But tropical storm warnings and flash flood watches are in place for Haiti, the Dominican Republic, the Turks and Caicos, and the Bahamas.","Haiti, the Dominican Republic, the Turks and Caicos, and the Bahamas are under tropical storm warnings and flash flood watches.","Haiti, the Dominican Republic, the Turks and Caicos, and the Bahamas are under tropical storm warnings and flash flood watches.",0.24899199687446893,-0.05957287667154605,0.24899199687446893,0.20019098270810165,-0.06585036942439183,0.20717773392245842,-0.00031327508455468184,0.43720930232558136,-0.10000000000000005,0.75,1.0
10,mrpc,A federal magistrate in Fort Lauderdale denied bail.,A federal judge in Fort Lauderdale declined bail.,A federal judge in Fort Lauderdale refused bail.,0.3595473802494741,0.18004993521993862,0.30581227803420735,0.4420420448727612,0.24262352784606805,0.29661076662908686,0.134879092561489,0.175,0.037499999999999964,0.6,0.7777777777777778
11,mrpc,"Six months ago , the Six months ago, the IMF approved a new debt package for Argentina, setting a minimum target for economic recovery each month.","Six months earlier, the IMF authorized a fresh financing deal for Argentina, stipulating a minimum monthly economic improvement target.","Six months earlier, the IMF granted Argentina a new loan, contingent on minimum monthly economic advancement.",0.4711011451783756,0.4081324648914422,0.5553074872603647,0.42486889932373584,0.4100192857303872,0.5808990279206705,0.4391758958374781,0.49999999999999994,0.37142857142857144,0.37037037037037035,0.4166666666666667
12,mrpc,"Inhibited children tend to be more cautious in new social situations, often avoiding interaction with unfamiliar people.","Shy children are often wary in new social settings, frequently preferring to avoid engaging with strangers.","Shy young people tend to navigate unfamiliar social settings warily, frequently preferring to avoid interacting with strangers.",0.5780278394477677,0.42112473523695515,0.6656629313907388,0.5658511833842542,0.42938021321298275,0.5925856470860761,0.4174830365458276,0.6000000000000001,0.3999999999999999,0.2692307692307692,0.391304347826087
13,mrpc,"I wanted to bring more people to the Grand Central building for a big Sunday gathering, showcasing its unique charm.","My aim was to attract a larger crowd to Grand Central for a grand Sunday event, highlighting its distinctive appeal.","I aimed to attract more visitors to Grand Central for a significant Sunday event, highlighting its distinct appeal.",0.506383287603407,0.28551434441138906,0.507525603060426,0.4299286160044257,0.30586489643974457,0.6821305900037581,0.3205033485271851,0.5599999999999998,0.18947368421052646,0.2413793103448276,0.4782608695652174
14,mrpc,"Singapore is already the United States' largest trading partner in Southeast Asia, with robust trading links and strategic importance for the region.","Singapore leads Southeast Asia as the United States' top trading partner, fostering robust commercial links and crucial strategic importance for the area.","Being the United States' top trade partner in Southeast Asia, Singapore fosters strong business connections and offers vital strategic value to the region.",0.23587008000886367,0.296528169678313,0.3070242013952272,0.17047493605385589,0.20533839378933127,0.3179255918827508,0.3555145559124603,0.35,0.5111111111111111,0.5185185185185185,0.30303030303030304
15,mrpc,The largest gains came from increased export orders and higher commodity prices.,Higher export demand and elevated commodity prices fueled the biggest gains.,Stronger global demand and higher commodity costs led to the biggest profits.,0.42004762030010245,0.48570702351760175,0.6192582682069444,0.2953388670234626,0.5275751935943108,0.5968301960822984,0.32407040637029366,0.6173913043478261,0.5217391304347826,0.4375,0.35294117647058826
16,mrpc,"Trading in Loral shares was heavy yesterday, as the stock surged on positive news.","Loral's stock was heavily traded yesterday, climbing sharply after positive reports.","Driven by encouraging news, Loral's stock was heavily traded yesterday and jumped significantly.",0.5185393188539206,0.387745939900095,0.5533805859604926,0.38287704414023294,0.3680622637637005,0.7825270003104424,0.4268506005170656,0.6615384615384615,0.40769230769230774,0.23809523809523808,0.3684210526315789
17,mrpc,He plans to host a dinner for U.S. troops at Camp Bondsteel in Kosovo later this week.,"Later this week, he will host a dinner for U.S. military personnel at Camp Bondsteel, Kosovo.","This week, he will host a dinner for American troops at Camp Bondsteel, Kosovo.",0.229152046549638,0.1980646672513683,0.2609319067168964,0.2005948489762166,0.1863683945228904,0.23540425724811168,0.28283105591397684,0.30857142857142844,0.14838709677419354,0.6666666666666666,0.631578947368421
18,mrpc,Retailers J.C. Penney Co and Walgreen Co. (WAG) are among the retailers struggling with declining sales and market share.,J.C. Penney Co and Walgreen Co. (WAG) are two retailers facing challenges due to shrinking sales and losing market share.,J.C. Penney and Walgreen contend with challenges due to declining sales and a weaker market position.,0.25886658719674016,0.39504185791173835,0.4282215274144012,0.2447353022787812,0.37371633464675175,0.3113465413424788,0.4909023908815943,0.2487804878048781,0.36315789473684207,0.5,0.4
19,mrpc,Prosecutors filed a motion for the death penalty against Lee.,The prosecution petitioned the court for Lee's death sentence.,Prosecutors asked the court to sentence Lee to death.,0.5868128093828902,0.427748930307706,0.5368474990540033,0.45137973554294786,0.3259337770644409,0.799924840285607,0.6241012150820495,0.7799999999999999,0.5368421052631579,0.26666666666666666,0.4166666666666667
20,mrpc,"Last year the court upheld Cleveland s controversial school voucher program, a decision that impacted thousands of students this school year.","A court ruling last year affirmed Cleveland's contentious school voucher program, affecting thousands of students in the current academic year.",Thousands of pupils are being affected this school year by a judicial ruling last year that confirmed Cleveland's contentious school choice program.,0.3551587798698198,0.5980439586564694,0.5632902028978337,0.3297888900194282,0.6981146421874743,0.36261770548129063,0.3458758667199246,0.4238095238095238,0.5499999999999998,0.5,0.36666666666666664
21,mrpc,"Sorkin , who faces a serious charge of conspiracy, awaits justice as the jury considers the evidence.","Accused of a serious conspiracy, Sorkin awaits the jury's decision as they weigh the evidence.","As the jury weighs the facts, Sorkin awaits their decision regarding his serious conspiracy charge.",0.42196869956211064,0.37461843691204477,0.5187432350965425,0.4051069206656497,0.23939342232424043,0.44452273581360396,0.4387828853294383,0.45,0.7161290322580645,0.5,0.38095238095238093
22,mrpc,"The US chip market is projected to grow by 10 percent this year, driven by strong demand.","The US chip market is anticipated to expand by 10 percent this year, fueled by robust demand.","Due to high demand, the US chip industry is predicted to grow by 10% this year.",0.23307714002573743,0.412677587774435,0.28734800653983683,0.24993099646381,0.38460295183645943,0.25676918132549237,0.5095790833627969,0.15882352941176464,0.3999999999999999,0.6,0.47619047619047616
23,mrpc,"The group will be headed by John S. Wolf from the State Department, addressing strategic issues concerning Australia, Vietnam, and Greece.","John S. Wolf of the State Department will lead the group, focusing on strategic matters related to Australia, Vietnam, and Greece.","State Dept. official John S. Wolf is set to lead a team addressing critical strategic topics for Australia, Vietnam, and Greece.",0.27884868214750486,0.4119528009719152,0.46145596714153886,0.20260539381556997,0.3557027275553287,0.36261770548129063,0.4640843936221614,0.4238095238095238,0.5285714285714285,0.48148148148148145,0.36666666666666664
24,mrpc,"The company has restated its earning forecast, saying it plans to improve.","The company updated its profit forecast, anticipating better performance.","The business adjusted its profit prediction, expecting stronger outcomes.",0.5836122011324631,0.5437654471436583,0.7491144504040934,0.5356583197535327,0.5007723839299812,0.7301336654493364,0.5831767505950145,0.5809523809523809,0.6333333333333334,0.23529411764705882,0.2
25,mrpc,"Results from No . . 1 U.S. drink maker, PepsiCo Inc., detail a strong financial result for beverages.","PepsiCo Inc., the leading U.S. drink maker, revealed strong financial performance in beverages.","The foremost U.S. drink giant, PepsiCo Inc., revealed robust earnings for its beverage segment.",0.4153112995457704,0.4938272147258703,0.5469338968361085,0.3783063005178057,0.474203937835447,0.43841178972382194,0.5016966739161145,0.5032258064516129,0.5448275862068964,0.4090909090909091,0.3181818181818182
26,mrpc,""" The result is The result is a significant growth in employee satisfaction this year, thanks to the new compensation package.","Employee contentment has seen substantial improvement this year, due to the recently introduced pay structure.","Employee morale has greatly improved this year, attributed to the recently launched compensation program.",0.648896174506256,0.49287690045337895,0.6898971648692751,0.5958568291378181,0.5249419730146785,0.7711960994035403,0.4964551349469973,0.6857142857142856,0.3931034482758622,0.19230769230769232,0.3181818181818182
27,mrpc,"The songs are all available on the new album, which we offer for just ninety-nine cents.","All these tracks are on our new album, available for just 99 cents.","All these songs are on our new album, and it's priced at just 99 cents.",0.4633132756345972,0.27078984681625495,0.4835010531893537,0.41489232480422117,0.2848593292884007,0.5852227370936557,0.2579919358712451,0.48666666666666664,0.2413793103448275,0.45,0.5263157894736842
28,mrpc,"However , the talk was incredibly insightful, especially regarding the financial benefits of cash earning through a new purchase system.","Nevertheless, the presentation offered valuable insights, particularly on the monetary rewards of earning cash via a novel buying system.","Nevertheless, the presentation underscored the financial profits achieved through an innovative purchasing method.",0.6273865541626451,0.6980841680545025,0.7524710551033014,0.6165512859012547,0.6564339258271575,0.6925420710041978,0.7961190627910398,0.5947368421052631,0.725,0.2,0.1111111111111111
29,mrpc,"Comcast Class A shares , listed on the Nasdaq Stock Market, showed a gain of 20 cents per share.","Comcast's Class A stock, listed on Nasdaq, rose by 20 cents per share.",Nasdaq-listed Comcast Class A stock climbed 20 cents a share.,0.37750958579695904,0.36371892715294507,0.49006633304172414,0.37324032807572843,0.28699871437705554,0.4553269447576099,0.5735984926335589,0.3124999999999999,0.38399999999999995,0.55,0.6
30,mrpc,"The Washington Post said Airlite will shift its manufacturing operations to a new facility, creating hundreds of jobs in the region.","According to The Washington Post, Airlite plans to relocate its production to a new plant, generating hundreds of jobs locally.","Per The Washington Post, Airlite aims to transfer its production to a different facility, bringing hundreds of new local jobs.",0.3883649974445478,0.28951302754542124,0.3830059078216945,0.3386200346289093,0.2546872518466528,0.5162087857750352,0.3435033821871477,0.4097560975609757,0.34,0.4074074074074074,0.48
31,mrpc,Several of the questions on the forum were submitted by the audience to ask the candidate directly.,"Many forum questions came from the audience, intended for the candidate's direct response.","Participants submitted numerous queries via the platform, wanting direct replies from the candidate.",0.531225050479959,0.6731007038944397,0.6341245157111602,0.4390445114981498,0.6258914788759964,0.6938304275827651,0.7322735272886539,0.6451612903225807,0.7555555555555555,0.22727272727272727,0.19047619047619047
32,mrpc,"Meanwhile , the global death Meanwhile, the global death toll from the mysterious syndrome continued to rise, with more people dying in China.","Concurrently, deaths from the mysterious syndrome climbed worldwide, with China recording a growing number of fatalities.","Concurrently, deaths from the unknown illness rose worldwide, and China registered a steadily increasing number of fatalities.",0.47076010613262326,0.34637408483468357,0.5847524922774009,0.36246167964051157,0.3421880650067729,0.6716786496363184,0.371972895819766,0.5947368421052631,0.3333333333333333,0.2222222222222222,0.43478260869565216
33,mrpc,"Contrary to what PeopleSoft management initially told customers, Oracle's takeover led to product uncertainties and customer migration.","Despite PeopleSoft management's initial reassurances to customers, Oracle's acquisition created product instability and caused customers to switch.",PeopleSoft's initial commitments to users were unfulfilled after Oracle's purchase caused product instability and client departures.,0.38719171607084196,0.49621150176802536,0.6117029313961395,0.3041878689881769,0.4961092256506946,0.5585301085248143,0.5278649670231783,0.46486486486486484,0.46486486486486484,0.32,0.375
34,mrpc,"The downtime , to take place in June, is essential for improving our production efficiency, a decision backed by the board.",Our board has approved essential system downtime in June to boost production efficiency.,Executives have authorized an indispensable system closure this June to optimize operational output.,0.5289831819861995,0.7793699837132899,0.8913495134659718,0.4450002238211901,0.7824503813089168,0.6432485718007608,0.803344928485853,0.6666666666666667,0.7461538461538461,0.391304347826087,0.13043478260869565
35,mrpc,"On July 3 , Troy was denied parole, extending his life sentence in prison.",The denial of Troy's parole on July 3 extended his life sentence in prison.,The rejection of Troy's parole on July 3 condemned him to life behind bars.,0.3044070526973848,0.5218098679234093,0.5800002544291086,0.3475940096449765,0.6193865107031421,0.18639609169485158,0.4108898075076204,0.2928571428571428,0.34,0.5555555555555556,0.42857142857142855
36,mrpc,The University of Michigan released a new policy regarding undergraduate admission following the U.S. Supreme Court's ruling.,UMich announced revised undergraduate admission criteria subsequent to the Supreme Court's judgment.,Michigan University revised its undergraduate enrollment rules after the Supreme Court's decision.,0.6176274317655117,0.5384783187832745,0.48129871241475247,0.6021528548803331,0.5443129381507729,0.6941785941865597,0.5671450871563611,0.5874999999999999,0.4923076923076923,0.25,0.3
37,mrpc,"The processors from Intel, based in San Jose, are highly efficient.","Intel's processors, established in San Jose, are notably efficient.","Intel's chips, based in San Jose, show exceptional efficiency.",0.2434569261864558,0.3087679231856551,0.37760126904942587,0.17806267699939304,0.27959067017737155,0.3116680285055283,0.3650676053961608,0.3714285714285716,0.34,0.5,0.3333333333333333
38,mrpc,It said the damage to the Columbia's left wing was so severe it created a critical pathway for superheated gas to enter the internal structure during reentry.,"A report stated that extensive damage to the Columbia's left wing created a critical path, allowing superheated gas to breach its internal structure upon reentry.","A report noted that Columbia's left wing sustained severe damage, leading to a critical opening through which superheated gas penetrated its interior during reentry.",0.3102438302407515,0.3551879706547352,0.4338778734305937,0.26097861420340623,0.2845068740047786,0.4201351604453907,0.48320354498483037,0.34814814814814804,0.43921568627450985,0.45454545454545453,0.4117647058823529
39,mrpc,"Also demonstrating box - office strength _ Also demonstrating box - office strength, the revival of Eugene O'Neill's 'Long Day's Journey into Night' has seen record sales, a likely Tony contender.","The revival of Eugene O'Neill's 'Long Day's Journey into Night' is also a box-office hit, with record sales and a strong chance for a Tony Award.","Eugene O'Neill's 'Long Day's Journey into Night' is enjoying a highly successful stage return, setting new ticket sale records and expected to claim a Tony Award.",0.34735531709899864,0.3729854974315225,0.5113338204997505,0.3235215839087372,0.3633020843123511,0.37932658786714224,0.40891953930530467,0.3868852459016394,0.36610169491525424,0.5588235294117647,0.35
40,mrpc,But Secretary of State Colin Powell addressed the issue.,"However, Secretary of State Colin Powell dealt with the matter.","However, Secretary of State Colin Powell tackled the issue.",0.3230710204366831,0.24454844346093182,0.2893357339041538,0.35687926566062506,0.24411871168821553,0.23945414730680356,0.3009123980294862,0.3052631578947369,0.18947368421052646,0.46153846153846156,0.5833333333333334
41,mrpc,Thomas and Tauzin say the Bush administration's new healthcare plan fails to address critical issues for the average doctor.,"According to Thomas and Tauzin, the Bush administration's latest healthcare plan overlooks key concerns for typical physicians.",Thomas and Tauzin argue the Bush administration's latest health plan overlooks vital concerns for everyday physicians.,0.3972849012230997,0.22503441248424566,0.4175652520211097,0.3704958402492375,0.21605886364364535,0.45388435378883835,0.29413832863314937,0.4210526315789474,0.18285714285714294,0.4230769230769231,0.5909090909090909
42,mrpc,"Based on experience elsewhere this year's election must be held carefully to build a solid, long-term base.","Given past experience, this year's election needs careful handling to establish a strong, lasting base.","Learning from the past, this year's election demands careful handling to create a strong, lasting foundation.",0.41512234960252276,0.33892894768087833,0.5538329293220378,0.4007167126298071,0.38925820510817466,0.4391758958374781,0.26020345641320114,0.43428571428571433,0.2666666666666666,0.2962962962962963,0.5
43,mrpc,"The first biotechnology treatment for asthma was approved by the US Food and Drug Administration, revolutionizing treatment for severe asthma and reducing airway constriction.","The US Food and Drug Administration sanctioned the first biotech asthma treatment, profoundly changing severe asthma care and easing airway constriction.","America's FDA has cleared the inaugural biological treatment for asthma, which will greatly improve severe asthma management and reduce airway constriction.",0.33763896507808605,0.515237516794389,0.473880148119702,0.2798768712608452,0.4112033876199065,0.4352308782745613,0.7007169559959464,0.4133333333333334,0.6418604651162791,0.48,0.21875
44,mrpc,FBI agents arrested a former partner at Ernst & Young for defrauding a U.S. government agency. The former agent was charged with wire fraud.,The FBI arrested a former Ernst & Young partner on charges of defrauding a U.S. agency. Wire fraud was specifically cited.,"Authorities arrested an ex-Ernst & Young partner, alleging they defrauded a U.S. agency via wire fraud.",0.28606837505250937,0.4572532668476497,0.4944901563133867,0.22875561382607718,0.48148228872745846,0.37963058933987087,0.47866157331903114,0.3644444444444444,0.36315789473684207,0.5555555555555556,0.37037037037037035
