idx,dataset_source,Type_1,Type_4,sbert_euclid,sbert_cosine,sbert_norm,meteor,meteor_inv,meteor_norm,rouge_l,rouge_l_inv,rougel_norm,bertscore_f1,bertscore_inv,jaccard,jaccard_div,edit_norm,SDS,drift_category
0,mrpc,"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","Amrozi charged his brother, ""the witness,"" with willfully misrepresenting his account.",0.5141370296478271,0.86783165,0.45835947935490534,0.37307380373073795,0.626926196269262,0.626818215428819,0.4799999999999999,0.52,0.5015384615384615,0.92212766,0.077872336,0.2777777777777778,0.7222222222222222,0.5048543689320388,0.5006870230063993,High Drift
1,mrpc,"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .",He noted they had advertised the cargo for sale online in a listing posted June 10.,0.4773811399936676,0.8860537,0.4208740039269049,0.5266853932584269,0.4733146067415731,0.4731621652384593,0.411764705882353,0.588235294117647,0.5723981900452487,0.9201674,0.07983261,0.391304347826087,0.6086956521739131,0.6571428571428571,0.46163647341288455,High Drift
2,mrpc,"The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .","Shares gained $2.11 (about 11%), concluding Friday's trading at $21.51 on the NYSE.",0.5982166528701782,0.8210686,0.5441080404685743,0.47219512195121954,0.5278048780487805,0.5276682079700681,0.5405405405405405,0.45945945945945954,0.43866943866943875,0.92796105,0.07203895,0.375,0.625,0.6190476190476191,0.519732353609046,High Drift
3,mrpc,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,Q1 sales decreased 15 percent compared to the prior year's comparable period.,0.534327507019043,0.85724723,0.4789507274650611,0.21257142857142855,0.7874285714285715,0.787367045689477,0.2580645161290323,0.7419354838709677,0.7320099255583126,0.92575353,0.074246466,0.21739130434782608,0.782608695652174,0.6907216494845361,0.5912458307285946,High Drift
4,mrpc,The DVD-CCA then appealed to the state Supreme Court .,The DVD-CCA subsequently appealed to the state Supreme Court.,0.1339666098356247,0.9910266,0.07064286946160661,0.8950617283950617,0.1049382716049383,0.1046792088760251,0.9,0.09999999999999998,0.06538461538461542,0.98776764,0.012232363,0.8,0.19999999999999996,0.18032786885245902,0.07639848652909208,Low Drift
5,mrpc,But he added group performance would improve in the second half of the year and beyond .,He predicted group performance would pick up in the latter half of the year and thereafter.,0.43236345052719116,0.906531,0.3749627361491711,0.6709710743801653,0.32902892561983466,0.3288347227039504,0.6875,0.3125,0.28605769230769235,0.94788456,0.05211544,0.5,0.5,0.34065934065934067,0.34795612469183124,Low Drift
6,mrpc,He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,The Sun reported that Hussein's daughters had British schools and hospitals in mind when they asked for asylum.,0.23816728591918945,0.9716383,0.176911876134105,0.7617546624638822,0.23824533753611776,0.2380248586178938,0.8372093023255814,0.16279069767441856,0.1305903398926655,0.9489433,0.051056683,0.6538461538461539,0.34615384615384615,0.24444444444444444,0.1798701653825749,Low Drift
7,mrpc,"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young of Child, the national infertility support network, expected the guidelines to provide a more just and impartial service for those with infertility.",0.3963659107685089,0.92144704,0.3382506634775783,0.7792012927054478,0.2207987072945522,0.22057317870042617,0.75,0.25,0.2211538461538462,0.94776773,0.052232265,0.5714285714285714,0.4285714285714286,0.31137724550898205,0.29129580305740144,Low Drift
8,mrpc,"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","The new Finder integrates a user's folders, hard drives, network servers, and other media into a unified location, simplifying access with one click.",0.2898571193218231,0.95799154,0.22962772652225044,0.6975838463727736,0.3024161536272264,0.3022142480276974,0.6808510638297872,0.3191489361702128,0.2929623567921441,0.9367341,0.06326592,0.5517241379310345,0.4482758620689655,0.40268456375838924,0.25681195687731856,Low Drift
9,mrpc,"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","Tropical storm warnings and watches were issued today, covering Haiti, the western Dominican Republic, the southeastern Bahamas, and the Turks and Caicos Islands.",0.30271849036216736,0.9541808,0.2427443892568351,0.8075915190979117,0.19240848090208829,0.1921747351657358,0.8163265306122449,0.18367346938775508,0.152276295133438,0.9516669,0.04833311,0.64,0.36,0.23121387283236994,0.21453683961393583,Low Drift
